district_id, district name, state
3,Nicobar,Andaman and Nicobar Islands
1,North and Middle Andaman,Andaman and Nicobar Islands
2,South Andaman,Andaman and Nicobar Islands
9,Anantapur,Andhra Pradesh
10,Chittoor,Andhra Pradesh
11,East Godavari,Andhra Pradesh
5,Guntur,Andhra Pradesh
4,Krishna,Andhra Pradesh
7,Kurnool,Andhra Pradesh
12,Prakasam,Andhra Pradesh
13,Sri Potti Sriramulu Nellore,Andhra Pradesh
14,Srikakulam,Andhra Pradesh
8,Visakhapatnam,Andhra Pradesh
15,Vizianagaram,Andhra Pradesh
16,West Godavari,Andhra Pradesh
6,YSR District, Kadapa (Cuddapah),Andhra Pradesh
22,Anjaw,Arunachal Pradesh
20,Changlang,Arunachal Pradesh
25,Dibang Valley,Arunachal Pradesh
23,East Kameng,Arunachal Pradesh
42,East Siang,Arunachal Pradesh
17,Itanagar Capital Complex,Arunachal Pradesh
24,Kamle,Arunachal Pradesh
27,Kra Daadi,Arunachal Pradesh
21,Kurung Kumey,Arunachal Pradesh
33,Lepa Rada,Arunachal Pradesh
29,Lohit,Arunachal Pradesh
40,Longding,Arunachal Pradesh
31,Lower Dibang Valley,Arunachal Pradesh
18,Lower Siang,Arunachal Pradesh
32,Lower Subansiri,Arunachal Pradesh
36,Namsai,Arunachal Pradesh
19,Pakke Kessang,Arunachal Pradesh
39,Papum Pare,Arunachal Pradesh
35,Shi Yomi,Arunachal Pradesh
37,Siang,Arunachal Pradesh
30,Tawang,Arunachal Pradesh
26,Tirap,Arunachal Pradesh
34,Upper Siang,Arunachal Pradesh
41,Upper Subansiri,Arunachal Pradesh
28,West Kameng,Arunachal Pradesh
38,West Siang,Arunachal Pradesh
46,Baksa,Assam
47,Barpeta,Assam
765,Biswanath,Assam
57,Bongaigaon,Assam
66,Cachar,Assam
766,Charaideo,Assam
58,Chirang,Assam
48,Darrang,Assam
62,Dhemaji,Assam
59,Dhubri,Assam
43,Dibrugarh,Assam
67,Dima Hasao,Assam
60,Goalpara,Assam
53,Golaghat,Assam
68,Hailakandi,Assam
764,Hojai,Assam
54,Jorhat,Assam
